observation_date,observation_count,one_week_ago,delta_one_week_ago,two_week_ago,delta_two_week_ago,three_week_ago,delta_three_week_ago,four_week_ago,delta_four_week_ago,five_week_ago,delta_five_week_ago,one_year_ago,one_year_ago_delta,one_year_one_week_ago,one_year_one_week_ago_delta,one_year_two_week_ago,one_year_two_week_ago_delta,one_year_three_week_ago,one_year_three_week_ago_delta,week_num,year_num,status,month
2011-05-15,76.0,104.5,-17.5,122.0,109.0,13.0,13.0,0.0,0.0,0.0,0.0,122.5,-13.5,136.0,54.0,82.0,81.0,82.0,81.0,19.0,2011.0,past,2011-05
2011-05-22,62.0,76.0,-28.5,104.5,-17.5,122.0,109.0,13.0,13.0,0.0,0.0,67.5,-55.0,122.5,-13.5,136.0,54.0,136.0,54.0,20.0,2011.0,past,2011-05
2011-05-29,57.5,62.0,-14.0,76.0,-28.5,104.5,-17.5,122.0,109.0,13.0,13.0,59.0,-8.5,67.5,-55.0,122.5,-13.5,122.5,-13.5,21.0,2011.0,past,2011-05
2011-06-05,30.0,57.5,-4.5,62.0,-14.0,76.0,-28.5,104.5,-17.5,122.0,109.0,6.0,-53.0,59.0,-8.5,67.5,-55.0,67.5,-55.0,22.0,2011.0,past,2011-06
2011-06-12,36.0,30.0,-27.5,57.5,-4.5,62.0,-14.0,76.0,-28.5,104.5,-17.5,37.0,31.0,6.0,-53.0,59.0,-8.5,59.0,-8.5,23.0,2011.0,past,2011-06
2011-06-19,28.0,36.0,6.0,30.0,-27.5,57.5,-4.5,62.0,-14.0,76.0,-28.5,22.0,-15.0,37.0,31.0,6.0,-53.0,6.0,-53.0,24.0,2011.0,past,2011-06
2011-06-26,8.0,28.0,-8.0,36.0,6.0,30.0,-27.5,57.5,-4.5,62.0,-14.0,11.0,-11.0,22.0,-15.0,37.0,31.0,37.0,31.0,25.0,2011.0,past,2011-06
2011-07-03,30.0,8.0,-20.0,28.0,-8.0,36.0,6.0,30.0,-27.5,57.5,-4.5,5.0,-6.0,11.0,-11.0,22.0,-15.0,22.0,-15.0,26.0,2011.0,past,2011-07
2011-07-10,9.0,30.0,22.0,8.0,-20.0,28.0,-8.0,36.0,6.0,30.0,-27.5,2.0,-3.0,5.0,-6.0,11.0,-11.0,11.0,-11.0,27.0,2011.0,past,2011-07
2011-07-17,8.0,9.0,-21.0,30.0,22.0,8.0,-20.0,28.0,-8.0,36.0,6.0,9.0,7.0,2.0,-3.0,5.0,-6.0,5.0,-6.0,28.0,2011.0,past,2011-07
2011-07-24,6.0,8.0,-1.0,9.0,-21.0,30.0,22.0,8.0,-20.0,28.0,-8.0,10.0,1.0,9.0,7.0,2.0,-3.0,2.0,-3.0,29.0,2011.0,past,2011-07
2011-07-31,7.0,6.0,-2.0,8.0,-1.0,9.0,-21.0,30.0,22.0,8.0,-20.0,2.0,-8.0,10.0,1.0,9.0,7.0,9.0,7.0,30.0,2011.0,past,2011-07
2011-08-07,1.0,7.0,1.0,6.0,-2.0,8.0,-1.0,9.0,-21.0,30.0,22.0,2.0,0.0,2.0,-8.0,10.0,1.0,10.0,1.0,31.0,2011.0,past,2011-08
2011-08-14,0.0,1.0,-6.0,7.0,1.0,6.0,-2.0,8.0,-1.0,9.0,-21.0,5.0,3.0,2.0,0.0,2.0,-8.0,2.0,-8.0,32.0,2011.0,past,2011-08
2011-08-21,1.0,0.0,-1.0,1.0,-6.0,7.0,1.0,6.0,-2.0,8.0,-1.0,0.0,-5.0,5.0,3.0,2.0,0.0,2.0,0.0,33.0,2011.0,past,2011-08
2011-08-28,3.0,1.0,1.0,0.0,-1.0,1.0,-6.0,7.0,1.0,6.0,-2.0,0.0,0.0,0.0,-5.0,5.0,3.0,5.0,3.0,34.0,2011.0,past,2011-08
2011-09-04,2.0,3.0,2.0,1.0,1.0,0.0,-1.0,1.0,-6.0,7.0,1.0,3.0,3.0,0.0,0.0,0.0,-5.0,0.0,-5.0,35.0,2011.0,past,2011-09
2011-09-11,0.0,2.0,-1.0,3.0,2.0,1.0,1.0,0.0,-1.0,1.0,-6.0,0.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,36.0,2011.0,past,2011-09
2011-09-18,2.0,0.0,-2.0,2.0,-1.0,3.0,2.0,1.0,1.0,0.0,-1.0,2.0,2.0,0.0,-3.0,3.0,3.0,3.0,3.0,37.0,2011.0,past,2011-09
2011-09-25,0.0,2.0,2.0,0.0,-2.0,2.0,-1.0,3.0,2.0,1.0,1.0,1.0,-1.0,2.0,2.0,0.0,-3.0,0.0,-3.0,38.0,2011.0,past,2011-09
2011-10-02,0.0,0.0,-2.0,2.0,2.0,0.0,-2.0,2.0,-1.0,3.0,2.0,0.0,-1.0,1.0,-1.0,2.0,2.0,2.0,2.0,39.0,2011.0,past,2011-10
2011-10-09,0.0,0.0,0.0,0.0,-2.0,2.0,2.0,0.0,-2.0,2.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,40.0,2011.0,past,2011-10
