observation_date,observation_count,one_week_ago,delta_one_week_ago,two_week_ago,delta_two_week_ago,three_week_ago,delta_three_week_ago,four_week_ago,delta_four_week_ago,five_week_ago,delta_five_week_ago,one_year_ago,one_year_ago_delta,one_year_one_week_ago,one_year_one_week_ago_delta,one_year_two_week_ago,one_year_two_week_ago_delta,one_year_three_week_ago,one_year_three_week_ago_delta,week_num,year_num
2011-04-24,69.5,113.0,-32.0,145.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,-16.0,43.0,26.0,17.0,16.0,17.0,16.0,16,2011
2011-05-01,9.0,69.5,-43.5,113.0,-32.0,145.0,145.0,0.0,0.0,0.0,0.0,6.0,-21.0,27.0,-16.0,43.0,26.0,43.0,26.0,17,2011
2011-05-08,0.0,9.0,-60.5,69.5,-43.5,113.0,-32.0,145.0,145.0,0.0,0.0,0.0,-6.0,6.0,-21.0,27.0,-16.0,27.0,-16.0,18,2011
2011-05-15,0.0,0.0,-9.0,9.0,-60.5,69.5,-43.5,113.0,-32.0,145.0,145.0,1.0,1.0,0.0,-6.0,6.0,-21.0,6.0,-21.0,19,2011
2011-05-22,0.0,0.0,0.0,0.0,-9.0,9.0,-60.5,69.5,-43.5,113.0,-32.0,0.0,-1.0,1.0,1.0,0.0,-6.0,0.0,-6.0,20,2011
2011-05-29,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,9.0,-60.5,69.5,-43.5,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,21,2011
2011-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,9.0,-60.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,22,2011
2011-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2011
2011-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2011
2011-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2011
2011-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2011
2011-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2011
2011-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2011
2011-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2011
2011-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2011
2011-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2011
2011-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,2011
2011-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,2011
2011-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34,2011
2011-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,35,2011
2011-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,-2.0,2.0,2.0,2.0,2.0,36,2011
2011-09-18,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.0,10.0,10.0,0.0,-2.0,0.0,-2.0,37,2011
2011-09-25,9.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,23.0,8.0,-2.0,10.0,10.0,10.0,10.0,38,2011
2011-10-02,19.0,9.0,-1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,33.0,31.0,23.0,8.0,-2.0,8.0,-2.0,39,2011
2011-10-09,83.5,19.0,10.0,9.0,-1.0,10.0,10.0,0.0,0.0,0.0,0.0,114.5,50.5,64.0,33.0,31.0,23.0,31.0,23.0,40,2011
2011-10-16,47.0,83.5,64.5,19.0,10.0,9.0,-1.0,10.0,10.0,0.0,0.0,48.0,-66.5,114.5,50.5,64.0,33.0,64.0,33.0,41,2011
2011-10-23,55.0,47.0,-36.5,83.5,64.5,19.0,10.0,9.0,-1.0,10.0,10.0,127.0,79.0,48.0,-66.5,114.5,50.5,114.5,50.5,42,2011
2011-10-30,39.0,55.0,8.0,47.0,-36.5,83.5,64.5,19.0,10.0,9.0,-1.0,64.0,-63.0,127.0,79.0,48.0,-66.5,48.0,-66.5,43,2011
2011-11-06,50.0,39.0,-16.0,55.0,8.0,47.0,-36.5,83.5,64.5,19.0,10.0,15.5,-48.5,64.0,-63.0,127.0,79.0,127.0,79.0,44,2011
2011-11-13,1.0,50.0,11.0,39.0,-16.0,55.0,8.0,47.0,-36.5,83.5,64.5,4.0,-11.5,15.5,-48.5,64.0,-63.0,64.0,-63.0,45,2011
