GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS89868196	2012-08-15 22:51:21	32848	species	Palm Warbler	Setophaga palmarum			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_960	29			Okehocking Preserve	L784546	P	39.9694737	-75.4818678	2010-04-16	10:45:00	obsr11194	S6280846	Traveling	P22	EBIRD	60	0.805		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS89689306	2021-03-25 00:00:02.137287	32848	species	Palm Warbler	Setophaga palmarum			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_960	29			Waterloo Mills Preserve	L160674	P	40.0235421	-75.4174805	2010-04-13	09:00:00	obsr30455	S6268346	Traveling	P22	EBIRD	60	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90110043	2021-03-25 00:00:02.137287	32848	species	Palm Warbler	Setophaga palmarum			1				Unknown Sex, Adult (1)	United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			PA - 417 Glen Ave., West Chester	L608745	P	39.9646264	-75.5599093	2010-04-19	16:00:00	obsr163772	S6295712	Stationary	P21	EBIRD	180				1	G161247	0	1	0			by pond	
URN:CornellLabOfOrnithology:EBIRD:OBS89764296	2021-03-23 21:23:10.058299	32848	species	Palm Warbler	Setophaga palmarum			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2010-04-14	09:00:00	obsr7291	S6273495	Traveling	P22	EBIRD	90	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS89406457	2021-03-25 00:00:02.137287	32848	species	Palm Warbler	Setophaga palmarum			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Longwood Gardens--Abbondi Property (restricted access)	L503797	H	39.8727917	-75.6859303	2010-04-09	07:25:00	obsr146205	S6249727	Traveling	P22	EBIRD	95	2.414		2	1		0	1	0		Carol Majors and Judy Ford		
URN:CornellLabOfOrnithology:EBIRD:OBS89948366	2021-03-29 12:27:54.94253	32848	species	Palm Warbler	Setophaga palmarum			3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Westtown School	L505253	P	39.9515217	-75.5432636	2010-04-17		obsr89518	S6285826	Incidental	P20	EBIRD				15	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90382277	2021-04-01 15:14:13.10447	32848	species	Palm Warbler	Setophaga palmarum			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Hibernia Park	L461364	P	40.0328721	-75.8533859	2010-04-24	06:45:00	obsr134567	S6316886	Area	P23	EBIRD	75		80.9371	1	1		0	1	0		First of season: purple finch, spotted sandpiper, white-eyed vireo		
URN:CornellLabOfOrnithology:EBIRD:OBS89479434	2021-04-01 15:14:13.10447	32848	species	Palm Warbler	Setophaga palmarum			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Longwood Gardens--Abbondi Property (restricted access)	L503797	H	39.8727917	-75.6859303	2010-04-10	10:35:00	obsr146205	S6254479	Traveling	P22	EBIRD	70	3.219		42	1		0	1	0		Larry Lewis led Bird Walk		
URN:CornellLabOfOrnithology:EBIRD:OBS89557756	2021-03-25 00:00:02.137287	32848	species	Palm Warbler	Setophaga palmarum			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			SMIC VFNHP	L884687	P	40.1001346	-75.4795074	2010-04-11	08:00:00	obsr214546	S6259361	Traveling	P22	EBIRD	90	2.414		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS89260913	2021-03-29 12:27:54.94253	32848	species	Palm Warbler	Setophaga palmarum			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Nature Preserve	L610174	P	39.8201436	-75.7266730	2010-04-05	08:00:00	obsr162174	S6240288	Traveling	P22	EBIRD	180	5.633		9	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS89342558	2018-08-03 11:46:07	32848	species	Palm Warbler	Setophaga palmarum			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Westtown Lake (restricted access)	L830051	H	39.9514436	-75.5432475	2010-04-08	11:00:00	obsr187253	S6245565	Traveling	P22	EBIRD	60	0.805		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS89409394	2018-08-03 11:46:08	32848	species	Palm Warbler	Setophaga palmarum			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Westtown Lake (restricted access)	L830051	H	39.9514436	-75.5432475	2010-04-09	11:00:00	obsr187253	S6249926	Traveling	P22	EBIRD	60	0.805		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS89219535	2018-08-03 11:46:02	32848	species	Palm Warbler	Setophaga palmarum			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Westtown Lake (restricted access)	L830051	H	39.9514436	-75.5432475	2010-04-06	11:20:00	obsr187253	S6237665	Traveling	P22	EBIRD	40	0.805		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS88963760	2021-03-29 12:27:54.94253	32848	species	Palm Warbler	Setophaga palmarum			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Westtown School	L505253	P	39.9515217	-75.5432636	2010-04-02		obsr89518	S6221651	Incidental	P20	EBIRD				2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS89283619	2013-09-19 23:51:59	32848	species	Palm Warbler	Setophaga palmarum			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Westtown Lake (restricted access)	L830051	H	39.9514436	-75.5432475	2010-04-07	10:55:00	obsr187253	S6241631	Traveling	P22	EBIRD	60	1.207		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS89981954	2021-03-25 00:00:02.137287	32848	species	Palm Warbler	Setophaga palmarum			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Welkinweir	L252379	H	40.1545872	-75.6819338	2010-04-17	08:00:00	obsr22428	S6288058	Traveling	P22	EBIRD	630	8.047		4	1		0	1	0		Life bird nashville 		
URN:CornellLabOfOrnithology:EBIRD:OBS90809063	2021-04-01 15:14:13.10447	32848	species	Palm Warbler	Setophaga palmarum			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Hibernia Park	L461364	P	40.0328721	-75.8533859	2010-04-29	07:30:00	obsr134567	S6341999	Area	P23	EBIRD	180		80.9371	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90887083	2021-03-25 00:00:02.137287	32848	species	Palm Warbler	Setophaga palmarum			3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Longwood Gardens--Abbondi Property (restricted access)	L503797	H	39.8727917	-75.6859303	2010-04-30	07:55:00	obsr146205	S6346789	Traveling	P22	EBIRD	215	4.828		2	1		0	1	0		Carol Majors and Judy Ford		
URN:CornellLabOfOrnithology:EBIRD:OBS89297000	2021-03-29 12:27:54.94253	32848	species	Palm Warbler	Setophaga palmarum			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2010-04-05	08:00:00	obsr24203	S6242492	Traveling	P22	EBIRD	180	4.828		8	1		0	1	0		Monday Bird Walk - Carol Majors		
URN:CornellLabOfOrnithology:EBIRD:OBS90343250	2021-03-25 00:00:02.137287	32848	species	Palm Warbler	Setophaga palmarum			5					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2010-04-12	08:00:00	obsr24203	S6314328	Traveling	P22	EBIRD	180	7.242		12	1		0	1	0		Monday Bird Walks: Larry Lewis		
URN:CornellLabOfOrnithology:EBIRD:OBS89698816	2021-03-29 12:27:54.94253	32848	species	Palm Warbler	Setophaga palmarum			4					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Westtown School	L505253	P	39.9515217	-75.5432636	2010-04-12		obsr89518	S6268989	Incidental	P20	EBIRD				1	1		0	1	0				
