GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS90740775	2012-08-15 22:29:51	32798	species	Yellow Warbler	Setophaga petechia			1				Male, Adult (1)	United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Black Rock Sanctuary	L165736	H	40.1548650	-75.5064540	2010-04-27	09:10:00	obsr118164	S6337600	Area	P23	EBIRD	20		7.2843	1	1		0	1	0		Chased out prematurely from park by a construction worker.--Mostly sunny, low-50''s F, Beaufort 1 wind	Singing	
URN:CornellLabOfOrnithology:EBIRD:OBS91745526	2019-05-05 12:58:10	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Longwood Gardens	L503790	H	39.8726929	-75.6744719	2010-04-24	09:00:00	obsr146205	S6396134	Traveling	P22	EBIRD	120	1.609		1	1		0	1	0		Pat Messner		
URN:CornellLabOfOrnithology:EBIRD:OBS90771088	2021-03-29 12:27:54.94253	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Shaw's Bridge Park	L130021	H	39.9216042	-75.6472015	2010-04-28	08:45:00	obsr97293	S6339558	Traveling	P22	EBIRD	70	2.414		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90861340	2021-04-01 15:14:13.10447	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Hibernia Park	L461364	P	40.0328721	-75.8533859	2010-04-30	07:30:00	obsr134567	S6345230	Area	P23	EBIRD	180		80.9371	1	1		0	1	0		Many white-throated sparrows in appropriatae habitat. Good showing of thrushes with many wood, FOS veery and multiple Swainson''s.		
URN:CornellLabOfOrnithology:EBIRD:OBS90865619	2012-08-15 17:24:18	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Stroud Preserve	L896595	P	39.9516286	-75.6487226	2010-04-30	11:00:00	obsr187253	S6345479	Traveling	P22	EBIRD	45	1.609		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90822733	2012-11-21 18:14:18	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_960	29			Waterloo Mills Preserve	L160674	P	40.0235421	-75.4174805	2010-04-29	07:00:00	obsr30455	S6342762	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90763699	2021-03-23 21:23:10.058299	32798	species	Yellow Warbler	Setophaga petechia			4					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_3227	29			Laurels Reserve	L690595	P	39.9107978	-75.7974029	2010-04-28	08:00:00	obsr30455	S6339115	Traveling	P22	EBIRD	180	4.828		6	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90887062	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Longwood Gardens--Abbondi Property (restricted access)	L503797	H	39.8727917	-75.6859303	2010-04-30	07:55:00	obsr146205	S6346789	Traveling	P22	EBIRD	215	4.828		2	1		0	1	0		Carol Majors and Judy Ford		
URN:CornellLabOfOrnithology:EBIRD:OBS90687172	2021-04-01 15:14:13.10447	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Hibernia Park	L461364	P	40.0328721	-75.8533859	2010-04-27	07:30:00	obsr134567	S6333823	Area	P23	EBIRD	180		80.9371	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90809041	2021-04-01 15:14:13.10447	32798	species	Yellow Warbler	Setophaga petechia			4					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Hibernia Park	L461364	P	40.0328721	-75.8533859	2010-04-29	07:30:00	obsr134567	S6341999	Area	P23	EBIRD	180		80.9371	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90874544	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			1				Male, Adult (1)	United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			French Creek in Phoenixville	L487035	P	40.1357055	-75.5388701	2010-04-30	12:00:00	obsr118164	S6346032	Area	P23	EBIRD	75		1.3152	1	1		0	1	0		Clear, low-80''s F, Beaufort 1 wind--Cabbage whites, E. Tiger-swallowtail--Woodchuck, Gray squirrels	Heard sing once	
URN:CornellLabOfOrnithology:EBIRD:OBS91995291	2018-08-03 11:47:31	32798	species	Yellow Warbler	Setophaga petechia			10					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2010-05-11	11:45:00	obsr11194	S6411507	Traveling	P22	EBIRD	45	2.414		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS91359504	2012-08-15 17:23:09	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Church Farm School Ponds	L875764	P	40.0364783	-75.6047773	2010-05-05	16:15:00	obsr187253	S6374023	Traveling	P22	EBIRD	60	0.805		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90972003	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			6					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2010-05-01	14:30:00	obsr11194	S6351452	Stationary	P21	EBIRD	90			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS91258268	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			5					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_960	29			Waterloo Mills Preserve	L160674	P	40.0235421	-75.4174805	2010-05-04	08:00:00	obsr30455	S6367514	Traveling	P22	EBIRD	180	3.219		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS91033559	2021-03-23 21:23:10.058299	32798	species	Yellow Warbler	Setophaga petechia			3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2010-05-02	08:00:00	obsr92769	S6354683	Traveling	P22	EBIRD	180	6.437		10	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS92358898	2021-03-23 21:23:10.058299	32798	species	Yellow Warbler	Setophaga petechia			X					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_960	29			Waterloo Mills Preserve (PRIVATE PROPERTY)	L787824	H	40.0236545	-75.4181385	2010-05-13		obsr51325	S6430349	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS94654449	2021-03-29 12:27:54.94253	32798	species	Yellow Warbler	Setophaga petechia			3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2010-05-23	08:00:00	obsr24203	S6591148	Traveling	P22	EBIRD	180	4.828		4	1		0	1	0		Sunday Bird Walk: Carol Majors		
URN:CornellLabOfOrnithology:EBIRD:OBS92576116	2018-08-06 23:57:46	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Struble Trail	L252294	H	40.0186686	-75.7049513	2010-05-21	06:30:00	obsr145848	S6443067	Traveling	P22	EBIRD	90	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS92382857	2021-04-01 15:14:13.10447	32798	species	Yellow Warbler	Setophaga petechia			X					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2010-05-16	04:30:00	obsr181634	S6431481	Area	P23	EBIRD	1020		121.4057		1	G170482	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS91808700	2021-03-29 12:27:54.94253	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2010-05-09	07:45:00	obsr24203	S6399862	Traveling	P22	EBIRD	180	4.023		5	1		0	1	0		Sunday Bird Walk - Leader: Carol Majors		
URN:CornellLabOfOrnithology:EBIRD:OBS91257521	2021-03-23 21:23:10.058299	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Church Farm Pond	L899532	P	40.0401090	-75.6023633	2010-05-04	12:15:00	obsr212158	S6367456	Area	P23	EBIRD	45		2.8328	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS91868138	2021-03-29 12:27:54.94253	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Westtown School	L505253	P	39.9515217	-75.5432636	2010-05-11		obsr89518	S6403262	Incidental	P20	EBIRD					1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS91229063	2021-04-01 15:14:13.10447	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			PA - Chester - State Line Woods Preserve	L839154	P	39.8224632	-75.6738710	2010-05-04	11:05:00	obsr20565	S6365890	Traveling	P22	EBIRD_PA	40	1.448		1	1		0	1	0			first of year	
URN:CornellLabOfOrnithology:EBIRD:OBS92797992	2021-03-29 12:27:54.94253	32798	species	Yellow Warbler	Setophaga petechia			4					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2010-05-24	07:35:00	obsr28990	S6457147	Traveling	P22	EBIRD_PA	220	4.828		9	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS91394670	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Longwood Gardens	L503790	H	39.8726929	-75.6744719	2010-05-05	09:35:00	obsr146205	S6376162	Traveling	P22	EBIRD	85	2.414		1	1		0	1	0		5 Wood Thrushes, 6 Ovenbirds heard and seen in Forest Walk, though there was no breeding behavior observed.----Carol Majors		
URN:CornellLabOfOrnithology:EBIRD:OBS421246971	2021-03-23 21:23:10.058299	32798	species	Yellow Warbler	Setophaga petechia			3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Ellis Woods Park	L1356109	H	40.1983342	-75.6150661	2010-05-02	08:26:00	obsr318670	S30936519	Historical	P62	EBIRD	97			3	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS92860599	2021-03-23 21:23:10.058299	32798	species	Yellow Warbler	Setophaga petechia			15					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Shaw's Bridge Park	L130021	H	39.9216042	-75.6472015	2010-05-25	08:00:00	obsr97293	S6461268	Traveling	P22	EBIRD	80	2.414		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS91643025	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			12					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2010-05-09	08:00:00	obsr92769	S6390379	Traveling	P22	EBIRD	90	3.219		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS92044285	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Westtown School	L505253	P	39.9515217	-75.5432636	2010-05-14		obsr89518	S6414318	Incidental	P20	EBIRD				2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90932631	2021-04-01 15:14:13.10447	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Hibernia Park	L461364	P	40.0328721	-75.8533859	2010-05-01	07:30:00	obsr134567	S6349529	Area	P23	EBIRD	150		80.9371	1	1		0	1	0				
