GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS85933585	2018-08-03 11:44:46	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Indian Knoll Farm Wetlands (formerly Brandywine Dr. Wetlands)	L904555	H	39.9236264	-75.6903720	2010-02-21	16:02:00	obsr11194	S6020235	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS88685996	2014-01-08 08:01:34	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	3				Female, Immature (1); Unknown Sex and Age (2)	United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Black Rock Sanctuary	L165736	H	40.1548650	-75.5064540	2010-03-29	11:20:00	obsr118164	S6203422	Area	P23	EBIRD	65		27.9233	1	1		0	1	0		Cloudy, light rain, low-50''s F, Beaufort 0 wind--Spring peepers, White-tailed deer	Calling group of three	
URN:CornellLabOfOrnithology:EBIRD:OBS88394591	2021-03-23 21:23:10.058299	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	1				Female, Adult (1)	United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Black Rock Sanctuary	L165736	H	40.1548650	-75.5064540	2010-03-25	12:20:00	obsr118164	S6184883	Area	P23	EBIRD	70		27.9233	1	1		0	1	0		Cloudy, mid-60''s F, Beaufort 0 wind--White-tailed deer [6]	Calling	
URN:CornellLabOfOrnithology:EBIRD:OBS90400126	2021-04-01 15:14:13.10447	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_960	29			Waterloo Mills Preserve	L160674	P	40.0235421	-75.4174805	2010-04-24	09:00:00	obsr30455	S6317965	Incidental	P20	EBIRD	60			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90095694	2021-03-29 12:27:54.94253	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	4				Male, Adult (2); Unknown Sex, Adult (2)	United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			French Creek in Phoenixville	L487035	P	40.1357055	-75.5388701	2010-04-19	09:20:00	obsr118164	S6295153	Area	P23	EBIRD	115		8.9031	1	1		0	1	0		Sunny, high-50''s F, Beaufort 2 wind--Gray squirrel, Cabbage Whites, Sulphur	Singing, calling	
URN:CornellLabOfOrnithology:EBIRD:OBS90625328	2021-03-23 21:23:10.058299	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2010-04-23	12:45:00	obsr216763	S6330206	Traveling	P22	EBIRD_PA	45	1.609		2	1	G163430	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90184382	2017-08-16 06:23:28	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Doe Run	L654878	P	39.9152663	-75.8190536	2010-04-19	13:15:00	obsr11194	S6301652	Stationary	P21	EBIRD	45			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS90741339	2018-08-03 11:46:49	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	1				Male, Adult (1)	United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			French Creek in Phoenixville	L487035	P	40.1357055	-75.5388701	2010-04-27	16:10:00	obsr118164	S6337637	Area	P23	EBIRD	85		6.9808	1	1		0	1	0		Parly sunny, low-50''s F, Beaufort 6 wind at times	Singing, calling	
URN:CornellLabOfOrnithology:EBIRD:OBS90508711	2021-03-29 12:27:54.94253	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	1				Male, Adult (1)	United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			French Creek in Phoenixville	L487035	P	40.1357055	-75.5388701	2010-04-25	11:10:00	obsr118164	S6323272	Stationary	P21	EBIRD	15			1	1		0	1	0		Cloudy, drizziling, high-40''s F, Beaufort 1 wind--Gray squirrel	Heard singing	
URN:CornellLabOfOrnithology:EBIRD:OBS89557766	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	X					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			SMIC VFNHP	L884687	P	40.1001346	-75.4795074	2010-04-11	08:00:00	obsr214546	S6259361	Traveling	P22	EBIRD	90	2.414		5	1		0	1	0				
